ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
EG-0001,small_airport,Al Rahmaniyah,,AF,EG,EG-BH,,,,,"30.664518356323242, 31.04330062866211"
EG-0002,small_airport,Az Zaqaziq,,AF,EG,EG-SHR,,,,,"31.66493034362793, 30.594703674316406"
EG-0003,medium_airport,Bilbeis 2 Airfield,,AF,EG,EG-SHR,Bilbeis,,,,"31.67889976501465, 30.42060089111328"
EG-0004,small_airport,Bir Hasanah,,AS,EG,EG-SIN,,,,,"33.41279983520508, 30.194400787353516"
EG-0006,small_airport,Fa'id Air Base,,AF,EG,EG-IS,,,,,"32.267799, 30.33"
EG-AUE,small_airport,Abu Rudeis Airport,39,AS,EG,EG-JS,Abu Rudeis,,AUE,,"33.20249938964844, 28.89900016784668"
HE11,small_airport,Badr El Din Airport,-62,AF,EG,EG-MT,,,,,"27.94059944152832, 29.874399185180664"
HE12,small_airport,Inshas Air Base,115,AF,EG,EG-SHR,Inshas,,,,"31.448109, 30.332373"
HE13,medium_airport,Capital International Airport,816,AF,EG,EG-C,,HECP,CCE,,"31.837643, 30.064358"
HE14,small_airport,Ras Banas Airport,100,AF,EG,EG-BA,,,,,"35.46030044555664, 23.97410011291504"
HE15,small_airport,Hulwan,,AF,EG,EG-GZ,,HE15,,,"31.330900192260742, 29.822500228881836"
HE16,medium_airport,Birma Air Base,,AF,EG,EG-GH,Tanta,HE16,,,"30.936001, 30.836599"
HE17,small_airport,Bir Abu Rahal Airport,995,AF,EG,EG-BA,,,,,"33.500999450683594, 24.994300842285156"
HE18,small_airport,Habata Airport,670,AF,EG,EG-MT,,,,,"25.45210075378418, 31.107500076293945"
HE19,small_airport,As Sallum Airport,85,AF,EG,EG-MT,,,,,"25.283700942993164, 31.457300186157227"
HE20,small_airport,Ras Jimsah New Airport,20,AF,EG,EG-BA,,,,,"33.52579879760742, 27.835100173950195"
HE21,small_airport,Ras Shukhayr New Airport,15,AF,EG,EG-BA,,,,,"33.206298828125, 28.19659996032715"
HE22,small_airport,Baluza Airport,50,AS,EG,EG-PTS,,,,,"32.552799224853516, 31.000200271606445"
HE23,small_airport,Daraw Airport,325,AF,EG,EG-ASN,,,,,"32.9557991027832, 24.415800094604492"
HE24,small_airport,Siwa Oasis North Airport,330,AF,EG,EG-MT,Siwa,HE24,SEW,,"25.50670051574707, 29.345500946044922"
